acronym,id,name
Aga,11380,aspartylglucosaminidase
Acan,11382,aggrecan
Ager,11383,advanced glycosylation end product-specific receptor
Angpt1,11387,angiopoietin 1
Angpt2,11388,angiopoietin 2
Angpt4,11389,angiopoietin 4
Agrn,11390,agrin
Agrp,11391,agouti related protein
Gla,11392,"galactosidase, alpha"
Agt,11393,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
Agtr1a,11394,"angiotensin II receptor, type 1a"
Agtr1b,11395,"angiotensin II receptor, type 1b"
Agtr2,11396,"angiotensin II receptor, type 2"
Agtrap,11397,"angiotensin II, type I receptor-associated protein"
Agxt,11398,alanine-glyoxylate aminotransferase
Nr0b1,11401,"nuclear receptor subfamily 0, group B, member 1"
Ahr,11409,aryl-hydrocarbon receptor
Ahrr,11411,aryl-hydrocarbon receptor repressor
Ahsg,11412,alpha-2-HS-glycoprotein
Aicda,11415,activation-induced cytidine deaminase
Aif1,11416,allograft inflammatory factor 1
Aim1,11417,absent in melanoma 1
Aip,11419,aryl-hydrocarbon receptor-interacting protein
Aire,11421,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)
Ak1,11423,adenylate kinase 1
Ak2,11424,adenylate kinase 2
Ak4,11426,adenylate kinase 4
Akap1,11427,A kinase (PRKA) anchor protein 1
Akap2,11428,A kinase (PRKA) anchor protein 2
Akap3,11429,A kinase (PRKA) anchor protein 3
Alpl,11434,"alkaline phosphatase, liver/bone/kidney"
Akp3,11435,"alkaline phosphatase 3, intestine, not Mn requiring"
Alppl2,11437,"alkaline phosphatase, placental-like 2"
Akt1,11438,thymoma viral proto-oncogene 1
Akt2,11439,thymoma viral proto-oncogene 2
Alas1,11442,aminolevulinic acid synthase 1
Alas2,11443,"aminolevulinic acid synthase 2, erythroid"
Alb,11444,albumin
Alcam,11445,activated leukocyte cell adhesion molecule
Abcd1,11453,"ATP-binding cassette, sub-family D (ALD), member 1"
Aldh1a1,11455,"aldehyde dehydrogenase family 1, subfamily A1"
Aldh2,11456,"aldehyde dehydrogenase 2, mitochondrial"
Aldh3a1,11457,"aldehyde dehydrogenase family 3, subfamily A1"
Aldh3a2,11458,"aldehyde dehydrogenase family 3, subfamily A2"
Aldoa,11461,"aldolase A, fructose-bisphosphate"
Aldoc,11463,"aldolase C, fructose-bisphosphate"
Akr1b3,11464,"aldo-keto reductase family 1, member B3 (aldose reductase)"
Alk,11469,anaplastic lymphoma kinase
Alox12,11471,arachidonate 12-lipoxygenase
Alox12e,11472,"arachidonate lipoxygenase, epidermal"
Alox12b,11473,"arachidonate 12-lipoxygenase, 12R type"
Alox15,11474,arachidonate 15-lipoxygenase
Alox8,11475,arachidonate 8-lipoxygenase
Alox5ap,11477,arachidonate 5-lipoxygenase activating protein
Gfer,11479,"growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)"
Alx3,11481,aristaless-like homeobox 3
Alx4,11482,aristaless-like homeobox 4
Ambn,11485,ameloblastin
Ambp,11486,alpha 1 microglobulin/bikunin
Amd1,11489,S-adenosylmethionine decarboxylase 1
Amd2,11490,S-adenosylmethionine decarboxylase 2
Amelx,11491,"amelogenin, X-linked"
Amh,11492,anti-Mullerian hormone
Ampd3,11504,adenosine monophosphate deaminase 3
Mat1a,11507,"methionine adenosyltransferase I, alpha"
Ang,11514,"angiogenin, ribonuclease, RNase A family, 5"
Ank,11519,progressive ankylosis
Ank1,11520,"ankyrin 1, erythroid"
Ank3,11522,"ankyrin 3, epithelial"
Ankfy1,11523,ankyrin repeat and FYVE domain containing 1
Anp32a,11524,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
Slc25a4,11526,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4"
Slc25a5,11527,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5"
Anxa11,11531,annexin A11
Anxa3,11532,annexin A3
Anxa4,11533,annexin A4
Anxa5,11534,annexin A5
Anxa6,11536,annexin A6
Anxa7,11537,annexin A7
Anxa8,11539,annexin A8
Aoc3,11541,"amine oxidase, copper containing 3"
Prdx3,11544,peroxiredoxin 3
Prdx6,11545,peroxiredoxin 6
Aox1,11548,aldehyde oxidase 1
Ap1b1,11551,"adaptor protein complex AP-1, beta 1 subunit"
Ap1g1,11552,"adaptor protein complex AP-1, gamma 1 subunit"
Ap1g2,11553,"adaptor protein complex AP-1, gamma 2 subunit"
Ap1m1,11554,"adaptor-related protein complex AP-1, mu subunit 1"
Ap1m2,11555,"adaptor protein complex AP-1, mu 2 subunit"
Ap1s1,11556,"adaptor protein complex AP-1, sigma 1"
Fabp4,11557,"fatty acid binding protein 4, adipocyte"
Ap2a1,11558,"adaptor-related protein complex 2, alpha 1 subunit"
Ap2a2,11559,"adaptor-related protein complex 2, alpha 2 subunit"
Ap2m1,11560,"adaptor-related protein complex 2, mu 1 subunit"
Ap3b1,11561,"adaptor-related protein complex 3, beta 1 subunit"
Ap3b2,11562,"adaptor-related protein complex 3, beta 2 subunit"
Ap3d1,11563,"adaptor-related protein complex 3, delta 1 subunit"
Ap3s1,11564,"adaptor-related protein complex 3, sigma 1 subunit"
Ap3s2,11565,"adaptor-related protein complex 3, sigma 2 subunit"
Ap4m1,11568,"adaptor-related protein complex AP-4, mu 1"
Ap4s1,11569,"adaptor-related protein complex AP-4, sigma 1"
Apaf1,11570,apoptotic peptidase activating factor 1
Apba2,11571,"amyloid beta (A4) precursor protein-binding, family A, member 2"
Apbb1,11572,"amyloid beta (A4) precursor protein-binding, family B, member 1"
Apbb2,11574,"amyloid beta (A4) precursor protein-binding, family B, member 2"
Apc,11576,adenomatosis polyposis coli
Speg,11577,SPEG complex locus
Apex1,11579,apurinic/apyrimidinic endonuclease 1
Atg5,11580,autophagy related 5
Birc3,11583,baculoviral IAP repeat-containing 3
Birc2,11584,baculoviral IAP repeat-containing 2
Xiap,11585,X-linked inhibitor of apoptosis
Birc5,11586,baculoviral IAP repeat-containing 5
Api5,11587,apoptosis inhibitor 5
Cd5l,11588,CD5 antigen-like
Aplp1,11590,amyloid beta (A4) precursor-like protein 1
Aplp2,11591,amyloid beta (A4) precursor-like protein 2
Apoa1,11593,apolipoprotein A-I
Apoa2,11594,apolipoprotein A-II
Apoa4,11595,apolipoprotein A-IV
Apobec1,11597,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"
Apobec2,11598,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2"
Apoc1,11599,apolipoprotein C-I
Apoc2,11600,apolipoprotein C-II
Apoc3,11601,apolipoprotein C-III
Apod,11602,apolipoprotein D
Apoe,11603,apolipoprotein E
Apoh,11605,apolipoprotein H
Nr2f2,11606,"nuclear receptor subfamily 2, group F, member 2"
App,11607,amyloid beta (A4) precursor protein
Aprt,11608,adenine phosphoribosyl transferase
Aqp1,11613,aquaporin 1
Aqp2,11614,aquaporin 2
Aqp3,11615,aquaporin 3
Aqp4,11616,aquaporin 4
Aqp5,11617,aquaporin 5
Aqp7,11619,aquaporin 7
Aqp8,11620,aquaporin 8
Aqr,11621,aquarius
Ar,11622,androgen receptor
Araf,11623,v-raf murine sarcoma 3611 viral oncogene homolog
Rplp0,11624,"ribosomal protein, large, P0"
Arc,11625,activity regulated cytoskeletal-associated protein
Areg,11626,amphiregulin
Arf1,11627,ADP-ribosylation factor 1
Arf2,11628,ADP-ribosylation factor 2
Arf3,11629,ADP-ribosylation factor 3
Arf4,11630,ADP-ribosylation factor 4
Arf5,11631,ADP-ribosylation factor 5
Arf6,11632,ADP-ribosylation factor 6
Arg1,11633,"arginase, liver"
Arg2,11634,arginase type II
Rhoa,11635,"ras homolog gene family, member A"
Rhob,11639,"ras homolog gene family, member B"
Rhoc,11640,"ras homolog gene family, member C"
Rhod,11641,"ras homolog gene family, member D"
Arhgap5,11642,Rho GTPase activating protein 5
Arhgap6,11643,Rho GTPase activating protein 6
Arhgdib,11644,"Rho, GDP dissociation inhibitor (GDI) beta"
Rnd2,11645,Rho family GTPase 2
Phox2a,11646,paired-like homeobox 2a
Arl4a,11648,ADP-ribosylation factor-like 4A
Arnt,11650,aryl hydrocarbon receptor nuclear translocator
Arnt2,11651,aryl hydrocarbon receptor nuclear translocator 2
Arntl,11652,aryl hydrocarbon receptor nuclear translocator-like
Arpc1b,11654,"actin related protein 2/3 complex, subunit 1B"
Art1,11657,ADP-ribosyltransferase 1
Art2a-ps,11658,"ADP-ribosyltransferase 2a, pseudogene"
Art2b,11659,ADP-ribosyltransferase 2b
Art5,11662,ADP-ribosyltransferase 5
Artn,11663,artemin
Arvcf,11664,armadillo repeat gene deleted in velo-cardio-facial syndrome
Arx,11665,aristaless related homeobox
Arsb,11668,arylsulfatase B
Arsa,11670,arylsulfatase A
Asah1,11673,N-acylsphingosine amidohydrolase 1
Asgr1,11676,asialoglycoprotein receptor 1
Asgr2,11677,asialoglycoprotein receptor 2
Rab27a,11678,"RAB27A, member RAS oncogene family"
Astn1,11686,astrotactin 1
Serpinc1,11692,"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1"
Zfhx3,11693,zinc finger homeobox 3
Ate1,11694,arginyltransferase 1
Atf1,11695,activating transcription factor 1
Atf2,11696,activating transcription factor 2
Atf3,11697,activating transcription factor 3
Atf4,11698,activating transcription factor 4
Atm,11706,ataxia telangiectasia mutated
Atoh1,11707,atonal homolog 1 (Drosophila)
Neurod6,11708,neurogenic differentiation 6
Neurod4,11709,neurogenic differentiation 4
Neurog2,11710,neurogenin 2
Neurog3,11711,neurogenin 3
Atox1,11713,ATX1 (antioxidant protein 1) homolog 1 (yeast)
Atp1a1,11714,"ATPase, Na+/K+ transporting, alpha 1 polypeptide"
Atp1b1,11717,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
Atp1b2,11718,"ATPase, Na+/K+ transporting, beta 2 polypeptide"
Atp1b3,11719,"ATPase, Na+/K+ transporting, beta 3 polypeptide"
Fxyd2,11722,FXYD domain-containing ion transport regulator 2
Atp2a1,11723,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1"
Atp2a2,11724,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
Atp2b2,11727,"ATPase, Ca++ transporting, plasma membrane 2"
Atp4a,11730,"ATPase, H+/K+ exchanging, gastric, alpha polypeptide"
Atp4b,11731,"ATPase, H+/K+ exchanging, beta polypeptide"
Atp5a1,11732,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1"
Atp5b,11733,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit"
Atp5c1,11735,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
Atp5f1,11736,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
Atp5g1,11737,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)"
Atp5j,11743,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F"
Atp5k,11744,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E"
Atp6v1a,11750,"ATPase, H+ transporting, lysosomal V1 subunit A"
Atp6v1b2,11752,"ATPase, H+ transporting, lysosomal V1 subunit B2"
Atp6v0d1,11758,"ATPase, H+ transporting, lysosomal V0 subunit D1"
Atp6v1e1,11759,"ATPase, H+ transporting, lysosomal V1 subunit E1"
Atp6v0e,11760,"ATPase, H+ transporting, lysosomal V0 subunit E"
Atp6v0a1,11761,"ATPase, H+ transporting, lysosomal V0 subunit A1"
Atp7a,11763,"ATPase, Cu++ transporting, alpha polypeptide"
Atp7b,11765,"ATPase, Cu++ transporting, beta polypeptide"
Atp8a1,11766,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1"
Atp9a,11767,"ATPase, class II, type 9A"
Atp10a,11768,"ATPase, class V, type 10A"
Atpif1,11769,ATPase inhibitory factor 1
Atp6v0c,11770,"ATPase, H+ transporting, lysosomal V0 subunit C"
Slc7a1,11773,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"
Slc7a2,11774,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
Slc7a3,11775,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3"
Atrn,11776,attractin
Hnrnpd,11777,heterogeneous nuclear ribonucleoprotein D
Auh,11778,AU RNA binding protein/enoyl-coenzyme A hydratase
Aup1,11779,ancient ubiquitous protein 1
Pcdh15,11780,protocadherin 15
Akr1b7,11783,"aldo-keto reductase family 1, member B7"
Avp,11784,arginine vasopressin
Avpr2,11786,arginine vasopressin receptor 2
Axin1,11791,axin 1
Axin2,11792,axin2
Azgp1,11793,"alpha-2-glycoprotein 1, zinc"
Cep131,11795,centrosomal protein 131
B2m,11796,beta-2 microglobulin
Baat,11798,bile acid-Coenzyme A: amino acid N-acyltransferase
Bach1,11799,BTB and CNC homology 1
Bach2,11800,BTB and CNC homology 2
Bad,11801,BCL2-associated agonist of cell death
Bag1,11803,BCL2-associated athanogene 1
Bak1,11804,BCL2-antagonist/killer 1
Nkx3-2,11806,NK3 homeobox 2
Bard1,11807,BRCA1 associated RING domain 1
Barx1,11808,BarH-like homeobox 1
Barx2,11809,BarH-like homeobox 2
Bax,11814,BCL2-associated X protein
Bcl6b,11815,"B cell CLL/lymphoma 6, member B"
Bcan,11818,brevican
Bcap29,11819,B cell receptor associated protein 29
Phb2,11820,prohibitin 2
Bcat1,11821,"branched chain aminotransferase 1, cytosolic"
Bcat2,11822,"branched chain aminotransferase 2, mitochondrial"
Bche,11824,butyrylcholinesterase
Bckdha,11825,"branched chain ketoacid dehydrogenase E1, alpha polypeptide"
Bckdhb,11826,"branched chain ketoacid dehydrogenase E1, beta polypeptide"
Bckdk,11827,branched chain ketoacid dehydrogenase kinase
Bcl10,11828,B cell leukemia/lymphoma 10
Bcl2,11829,B cell leukemia/lymphoma 2
Bcl2a1a,11830,B cell leukemia/lymphoma 2 related protein A1a
Bcl2a1b,11831,B cell leukemia/lymphoma 2 related protein A1b
Bcl2a1d,11833,B cell leukemia/lymphoma 2 related protein A1d
Bcl2l1,11834,BCL2-like 1
Bcl2l10,11835,Bcl2-like 10
Bcl2l2,11836,BCL2-like 2
Bcl3,11837,B cell leukemia/lymphoma 3
Bcl6,11839,B cell leukemia/lymphoma 6
Bcl7b,11840,B cell CLL/lymphoma 7B
Bcl7c,11841,B cell CLL/lymphoma 7C
Opn1sw,11843,"opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)"
Bdkrb1,11847,"bradykinin receptor, beta 1"
Bdkrb2,11848,"bradykinin receptor, beta 2"
Bdnf,11850,brain derived neurotrophic factor
Bet1,11854,blocked early in transport 1 homolog (S. cerevisiae)
Bex2,11855,brain expressed X-linked 2
Ngfrap1,11856,nerve growth factor receptor (TNFRSF16) associated protein 1
Bfsp1,11861,"beaded filament structural protein 1, in lens-CP94"
Glb1,11877,"galactosidase, beta 1"
Bglap3,11881,bone gamma-carboxyglutamate protein 3
Bgn,11897,biglycan
Bhmt,11902,betaine-homocysteine methyltransferase
Bicd1,11907,bicaudal D homolog 1 (Drosophila)
Bid,11908,BH3 interacting domain death agonist
Hrk,11909,"harakiri, BCL2 interacting protein (contains only BH3 domain)"
Bik,11910,BCL2-interacting killer
Bcl2l11,11911,BCL2-like 11 (apoptosis facilitator)
Fabp7,11926,"fatty acid binding protein 7, brain"
Prdm1,11928,"PR domain containing 1, with ZNF domain"
Blk,11929,B lymphoid kinase
Blm,11930,"Bloom syndrome, RecQ helicase-like"
Cxcr5,11931,chemokine (C-X-C motif) receptor 5
Bmi1,11937,Bmi1 polycomb ring finger oncogene
Bmp1,11939,bone morphogenetic protein 1
Bmp10,11940,bone morphogenetic protein 10
Bmp15,11941,bone morphogenetic protein 15
Bmp2,11942,bone morphogenetic protein 2
Bmp4,11945,bone morphogenetic protein 4
Bmp5,11946,bone morphogenetic protein 5
Bmp6,11947,bone morphogenetic protein 6
Bmp7,11948,bone morphogenetic protein 7
Bmp8a,11949,bone morphogenetic protein 8a
Bmp8b,11950,bone morphogenetic protein 8b
Gdf2,11951,growth differentiation factor 2
Bmpr1a,11952,"bone morphogenetic protein receptor, type 1A"
Bmpr1b,11953,"bone morphogenetic protein receptor, type 1B"
Bmpr2,11954,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
Bmx,11955,BMX non-receptor tyrosine kinase
Bnc1,11959,basonuclin 1
Bnip2,11961,BCL2/adenovirus E1B interacting protein 2
Bnip3,11962,BCL2/adenovirus E1B interacting protein 3
Bnip3l,11963,BCL2/adenovirus E1B interacting protein 3-like
Smyd1,11966,SET and MYND domain containing 1
Bop1,11967,block of proliferation 1
Bst1,11968,bone marrow stromal cell antigen 1
Bpgm,11969,"2,3-bisphosphoglycerate mutase"
Brca1,11975,breast cancer 1
Brca2,11976,breast cancer 2
Zfp36l1,11978,"zinc finger protein 36, C3H type-like 1"
Zfp36l2,11979,"zinc finger protein 36, C3H type-like 2"
Brs3,11995,bombesin-like receptor 3
Birc6,11997,baculoviral IAP repeat-containing 6
Bsg,12001,basigin
Bsn,12003,bassoon
Btc,12008,"betacellulin, epidermal growth factor family member"
Klf5,12009,Kruppel-like factor 5
Btg1,12011,"B cell translocation gene 1, anti-proliferative"
Btg2,12012,"B cell translocation gene 2, anti-proliferative"
Btg3,12013,B cell translocation gene 3
Btk,12014,Bruton agammaglobulinemia tyrosine kinase
Btn1a1,12016,"butyrophilin, subfamily 1, member A1"
Btrc,12019,beta-transducin repeat containing protein
Bub1,12020,budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)
Bub1b,12021,"budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)"
Bub3,12022,budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)
Commd3,12023,COMM domain containing 3
Tspo,12042,translocator protein
Serping1,12043,"serine (or cysteine) peptidase inhibitor, clade G, member 1"
C1qa,12044,"complement component 1, q subcomponent, alpha polypeptide"
C1qb,12045,"complement component 1, q subcomponent, beta polypeptide"
C1qbp,12046,"complement component 1, q subcomponent binding protein"
C1qc,12047,"complement component 1, q subcomponent, C chain"
C2,12048,complement component 2 (within H-2S)
Ciita,12050,class II transactivator
C3,12051,complement component 3
C3ar1,12052,complement component 3a receptor 1
C4b,12053,complement component 4B (Chido blood group)
C4bp,12054,complement component 4 binding protein
C5ar1,12058,complement component 5a receptor 1
C6,12059,complement component 6
Hyou1,12067,hypoxia up-regulated 1
Cab39,12068,calcium binding protein 39
Cacna1a,12071,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
Cacna1b,12072,"calcium channel, voltage-dependent, N type, alpha 1B subunit"
Cacna1c,12073,"calcium channel, voltage-dependent, L type, alpha 1C subunit"
Cacna1d,12074,"calcium channel, voltage-dependent, L type, alpha 1D subunit"
Cacna1e,12075,"calcium channel, voltage-dependent, R type, alpha 1E subunit"
Cacna1g,12076,"calcium channel, voltage-dependent, T type, alpha 1G subunit"
Cacna1s,12077,"calcium channel, voltage-dependent, L type, alpha 1S subunit"
Cacna2d1,12078,"calcium channel, voltage-dependent, alpha2/delta subunit 1"
Cacna2d3,12079,"calcium channel, voltage-dependent, alpha2/delta subunit 3"
Cacnb1,12080,"calcium channel, voltage-dependent, beta 1 subunit"
Cacnb2,12081,"calcium channel, voltage-dependent, beta 2 subunit"
Cacnb3,12082,"calcium channel, voltage-dependent, beta 3 subunit"
Cacnb4,12083,"calcium channel, voltage-dependent, beta 4 subunit"
Cacng1,12084,"calcium channel, voltage-dependent, gamma subunit 1"
Cacng2,12085,"calcium channel, voltage-dependent, gamma subunit 2"
Cacybp,12086,calcyclin binding protein
Pdia4,12089,protein disulfide isomerase associated 4
Ddr1,12090,"discoidin domain receptor family, member 1"
Anxa2,12091,annexin A2
Calb1,12092,calbindin 1
Calb2,12093,calbindin 2
S100g,12094,S100 calcium binding protein G
Calca,12095,"calcitonin/calcitonin-related polypeptide, alpha"
Calcr,12096,calcitonin receptor
Calm1,12098,calmodulin 1
Calm2,12099,calmodulin 2
Calm3,12100,calmodulin 3
Aspm,12101,"asp (abnormal spindle)-like, microcephaly associated (Drosophila)"
Calr,12102,calreticulin
Car8,12104,carbonic anhydrase 8
Calu,12106,calumenin
Camk2a,12107,calcium/calmodulin-dependent protein kinase II alpha
Camk2b,12108,"calcium/calmodulin-dependent protein kinase II, beta"
Camk2g,12110,calcium/calmodulin-dependent protein kinase II gamma
Camk4,12111,calcium/calmodulin-dependent protein kinase IV
Caml,12113,calcium modulating ligand
Canx,12115,calnexin
Cap1,12116,"CAP, adenylate cyclase-associated protein 1 (yeast)"
Capg,12117,"capping protein (actin filament), gelsolin-like"
Capn1,12118,calpain 1
Capn2,12119,calpain 2
Capn3,12120,calpain 3
Capns1,12121,"calpain, small subunit 1"
Capn5,12122,calpain 5
Capn6,12123,calpain 6
Capn7,12124,calpain 7
Capza1,12125,"capping protein (actin filament) muscle Z-line, alpha 1"
Capza3,12129,"capping protein (actin filament) muscle Z-line, alpha 3"
Capzb,12130,"capping protein (actin filament) muscle Z-line, beta"
Car1,12131,carbonic anhydrase 1
Car11,12133,carbonic anhydrase 11
Car2,12134,carbonic anhydrase 2
Car3,12135,carbonic anhydrase 3
Car4,12136,carbonic anhydrase 4
Car5a,12137,"carbonic anhydrase 5a, mitochondrial"
Car6,12138,carbonic anhydrase 6
Car7,12139,carbonic anhydrase 7
Nr1i3,12140,"nuclear receptor subfamily 1, group I, member 3"
Cat,12144,catalase
Cask,12146,calcium/calmodulin-dependent serine protein kinase (MAGUK family)
Casp4,12148,"caspase 4, apoptosis-related cysteine peptidase"
Casp12,12149,caspase 12
Casp14,12150,caspase 14
Casp2,12151,caspase 2
Casp3,12152,caspase 3
Casp6,12153,caspase 6
Casp7,12154,caspase 7
Casp8,12155,caspase 8
Casp9,12156,caspase 9
Casq1,12157,calsequestrin 1
